DestinationID,Name,State,Type,Popularity,BestTimeToVisit,Season,PopularityTier,AvgRating,ReviewCount,RatingStd,TextReviewCount,BudgetLevel,CompositeScore
1,Taj Mahal,Uttar Pradesh,Historical,8.691906258695031,Nov-Feb,Year-round,Popular,1.0,1.0,0.0,1.0,Moderate,0.6340198729440687
2,Goa Beaches,Goa,Beach,8.605031858363876,Nov-Mar,Year-round,Popular,2.5,2.0,0.7071067811865476,2.0,Moderate,1.3553987821755245
3,Jaipur City,Rajasthan,City,9.225372007612826,Oct-Mar,Year-round,Top Attraction,3.5,0.0,,,Premium,1.4276761160228386
4,Kerala Backwaters,Kerala,Nature,7.9773855361057935,Sep-Mar,Year-round,Hidden Gem,5.0,1.0,0.0,1.0,Budget,2.231876310776301
5,Leh Ladakh,Jammu and Kashmir,Adventure,8.399821878316247,Apr-Jun,Year-round,Emerging,1.0,1.0,0.0,1.0,Budget,0.6331436198029324
6,Taj Mahal,Uttar Pradesh,Historical,7.6489495441529245,Nov-Feb,Year-round,Hidden Gem,3.5,0.0,,,Budget,1.422946848632459
7,Goa Beaches,Goa,Beach,9.14506834197403,Nov-Mar,Year-round,Top Attraction,3.5,0.0,,,Premium,1.4274352050259222
8,Jaipur City,Rajasthan,City,9.4587045393854,Oct-Mar,Year-round,Top Attraction,3.0,1.0,0.0,1.0,Premium,1.43632026778614
9,Kerala Backwaters,Kerala,Nature,9.260450137338132,Sep-Mar,Year-round,Top Attraction,3.5,2.0,0.7071067811865476,2.0,Premium,1.7573650370124474
10,Leh Ladakh,Jammu and Kashmir,Adventure,8.811952081678728,Apr-Jun,Year-round,Popular,3.0,1.0,0.0,1.0,Moderate,1.43438001041302
11,Taj Mahal,Uttar Pradesh,Historical,8.17770928252728,Nov-Feb,Year-round,Emerging,4.0,1.0,0.0,1.0,Budget,1.8324772820155655
12,Goa Beaches,Goa,Beach,8.084317505906522,Nov-Mar,Year-round,Emerging,2.0,1.0,0.0,1.0,Budget,1.0321971066857032
13,Jaipur City,Rajasthan,City,9.114721643188815,Oct-Mar,Year-round,Top Attraction,2.0,2.0,1.4142135623730951,2.0,Premium,1.1569278515299994
14,Kerala Backwaters,Kerala,Nature,8.551426230833268,Sep-Mar,Year-round,Popular,3.0,3.0,1.0,3.0,Moderate,1.6415425870284672
15,Leh Ladakh,Jammu and Kashmir,Adventure,9.297389086740504,Apr-Jun,Year-round,Top Attraction,4.0,1.0,0.0,1.0,Premium,1.8358363214282052
16,Taj Mahal,Uttar Pradesh,Historical,8.337332881983857,Nov-Feb,Year-round,Emerging,3.5,0.0,,,Budget,1.4250119986459517
17,Goa Beaches,Goa,Beach,7.524150401549511,Nov-Mar,Year-round,Hidden Gem,1.0,1.0,0.0,1.0,Budget,0.6305166053726322
18,Jaipur City,Rajasthan,City,8.332572923728481,Oct-Mar,Year-round,Emerging,3.5,0.0,,,Budget,1.4249977187711855
19,Kerala Backwaters,Kerala,Nature,9.01709023649701,Sep-Mar,Year-round,Popular,3.5,0.0,,,Moderate,1.4270512707094911
20,Leh Ladakh,Jammu and Kashmir,Adventure,8.930902395039807,Apr-Jun,Year-round,Popular,2.0,1.0,0.0,1.0,Moderate,1.0347368613531032
21,Taj Mahal,Uttar Pradesh,Historical,9.321865627407217,Nov-Feb,Year-round,Top Attraction,3.5,0.0,,,Premium,1.4279655968822218
22,Goa Beaches,Goa,Beach,7.745073501266791,Nov-Mar,Year-round,Hidden Gem,3.5,0.0,,,Budget,1.4232352205038006
23,Jaipur City,Rajasthan,City,7.883349652185746,Oct-Mar,Year-round,Hidden Gem,4.0,1.0,0.0,1.0,Budget,1.831594203124541
24,Kerala Backwaters,Kerala,Nature,9.182423104129008,Sep-Mar,Year-round,Top Attraction,3.0,2.0,0.0,2.0,Premium,1.5571309559128201
25,Leh Ladakh,Jammu and Kashmir,Adventure,9.416526131108329,Apr-Jun,Year-round,Top Attraction,2.0,1.0,0.0,1.0,Premium,1.0361937325613086
